subject,card_class,label,right_mean,right_std,right_min,right_max,left_mean,left_std,left_min,left_max
0,aliens,0,1.2245733788395905,1.7049248483742487,0.0,3.73,1.3035153583617747,1.8147701458108483,0.0,3.99
0,aliens,0,1.1667032967032966,1.6823834556338702,0.0,3.74,1.3294871794871794,1.8384573618505224,0.0,3.99
0,aliens,0,1.198576512455516,1.7354972842356229,0.0,3.82,1.3515658362989325,1.896726607899617,0.0,4.16
0,aliens,0,1.2786643835616438,1.7887056687584908,0.0,3.88,1.380513698630137,1.931222591366983,0.0,4.22
0,aliens,0,1.213090909090909,1.7577734264439981,0.0,3.88,1.392981818181818,1.9394001206907685,0.0,4.21
0,aliens,0,1.2054266211604094,1.6789060688195228,0.0,3.74,1.2997269624573378,1.810233824824202,0.0,4.15
0,aliens,0,1.1748979591836735,1.6394102691235548,0.0,3.52,1.2500680272108844,1.7443513895143181,0.0,3.77
0,aliens,0,1.170513698630137,1.6249737221720995,0.0,3.49,1.2494863013698632,1.7346334896612352,0.0,3.74
0,aliens,0,1.1894863013698629,1.6647939543573023,0.0,3.7,1.2861643835616439,1.8013682315204833,0.0,4.05
0,aliens,0,1.195958904109589,1.6605168651578668,0.0,3.68,1.2843493150684933,1.7834770244675577,0.0,3.95
0,aliens,0,1.1189430894308943,1.6010829564649864,0.0,3.61,1.2333739837398372,1.717749714007676,0.0,3.8
0,aliens,0,1.1749315068493151,1.6459761396621886,0.0,3.63,1.239623287671233,1.7217900644344044,0.0,3.77
0,aliens,0,1.2455290102389078,1.7335121951787953,0.0,3.71,1.3060409556313992,1.8183049530885849,0.0,3.95
0,aliens,0,1.2048275862068965,1.7460704684797999,0.0,5.34,1.334,1.857475274253649,0.0,4.06
0,aliens,0,1.2878260869565215,1.7777082649275768,0.0,3.8,1.37,1.8904489040499164,0.0,4.15
0,aliens,0,1.1731428571428573,1.658214384051047,0.0,4.35,1.222857142857143,1.726927777236309,0.0,3.7
0,aliens,0,1.1548262548262547,1.6274675566628611,0.0,3.54,1.2264864864864866,1.7137043410737824,0.0,3.71
0,aliens,0,1.1324907063197025,1.627971028230106,0.0,3.55,1.2275092936802974,1.7213380243664296,0.0,3.78
0,aliens,0,1.1352964426877472,1.6313439084041401,0.0,3.65,1.2320553359683797,1.7380203699754468,0.0,3.86
0,aliens,0,1.0521052631578947,1.5860542977990668,0.0,3.64,1.2140350877192982,1.7066174491391324,0.0,3.86
0,aliens,0,1.1821843003412968,1.6582692351750419,0.0,3.63,1.2044027303754266,1.6893386690130123,0.0,3.7
0,aliens,0,1.131037037037037,1.6048767565852586,0.0,3.48,1.1705185185185185,1.632130597642198,0.0,3.58
0,aliens,0,1.206254295532646,1.6701387689424456,0.0,3.6,1.2427835051546392,1.7208731197702147,0.0,3.75
0,aliens,0,1.2015986394557823,1.6765574478384508,0.0,3.59,1.2553061224489797,1.7516160480223255,0.0,3.76
0,aliens,0,0.6421052631578947,1.3698454398802589,0.0,3.57,1.2184210526315788,1.7181393555093876,0.0,3.78
0,minion,1,1.2739322033898308,1.7689503004482667,0.0,3.84,1.3586101694915254,1.8867292814627337,0.0,4.17
0,minion,1,1.2611262798634812,1.7565688147983478,0.0,3.97,1.3661774744027304,1.903291236263858,0.0,4.37
0,minion,1,1.2660846560846561,1.7755608982610327,0.0,4.08,1.4419047619047618,1.9981703256869587,0.0,4.51
0,minion,1,1.302457337883959,1.8277994392508619,0.0,4.16,1.483617747440273,2.065616732000292,0.0,4.67
0,minion,1,1.2167132867132868,1.7710444044177254,0.0,4.08,1.4287062937062938,1.9853452758427506,0.0,4.63
0,minion,1,1.279457831325301,1.7749063162725967,0.0,3.85,1.4083132530120481,1.9540474354697013,0.0,4.41
0,minion,1,,,,,,,,
0,minion,1,1.1811162790697673,1.7040382658994606,0.0,3.75,1.3102325581395349,1.833344179428245,0.0,4.3
0,minion,1,1.1546712802768164,1.6801109770013316,0.0,3.75,1.326228373702422,1.8440760906806193,0.0,4.06
0,minion,1,1.2207508532423206,1.7120077882899265,0.0,3.71,1.3007167235494879,1.8242780045740805,0.0,3.95
0,minion,1,1.0461089494163425,1.633469166936939,0.0,3.72,1.3610505836575877,1.898540163214239,0.0,6.32
0,minion,1,1.1017557251908396,1.6214321189449796,0.0,3.58,1.2716030534351144,1.780063848695112,0.0,3.98
0,minion,1,1.2341296928327643,1.7178194834273808,0.0,3.74,1.3157679180887372,1.8315796687394819,0.0,4.0
0,minion,1,1.2176190476190476,1.7710330073618803,0.0,4.81,1.3336996336996338,1.8765179770713427,0.0,4.09
0,minion,1,1.1784684684684688,1.7232995806599098,0.0,3.75,1.330945945945946,1.8514058512449976,0.0,4.12
0,minion,1,1.2515120274914089,1.748221100500206,0.0,3.89,1.3381443298969071,1.8703213792970634,0.0,4.19
0,minion,1,1.1870114942528736,1.7120862992329622,0.0,3.75,1.3183524904214559,1.8376274331226468,0.0,4.02
0,minion,1,1.1875539568345324,1.7065490085956512,0.0,3.77,1.3015107913669066,1.8163610280887608,0.0,5.47
0,minion,1,1.22236301369863,1.6976382113495752,0.0,3.75,1.269315068493151,1.7633920208765437,0.0,3.97
0,minion,1,1.1483680555555555,1.693171089385447,0.0,3.81,1.3185763888888888,1.8263378145786002,0.0,4.05
0,minion,1,1.270669642857143,1.777976125018863,0.0,3.86,1.34625,1.883276471752965,0.0,4.06
0,pepper,0,1.2717747440273037,1.7705343953101815,0.0,3.94,1.3451194539249147,1.8727244829676761,0.0,4.17
0,pepper,0,1.2431351351351352,1.735032235043271,0.0,3.82,1.3136756756756756,1.8335969350784334,0.0,4.01
0,pepper,0,1.2073846153846157,1.6447380841290857,0.0,3.62,1.2836923076923077,1.7483014696688195,0.0,3.69
0,pepper,0,1.1934296028880866,1.6558493615818224,0.0,3.62,1.2898194945848374,1.7907692976608325,0.0,4.05
0,pepper,0,1.2738305084745765,1.7822486098267358,0.0,3.86,1.408135593220339,1.9702614510855088,0.0,4.27
0,pepper,0,1.2315613382899628,1.7555038654993833,0.0,3.86,1.3971003717472117,1.9421750177544281,0.0,4.26
0,pepper,0,1.2808591065292096,1.7735606939862507,0.0,3.88,1.4141580756013745,1.9583426038965408,0.0,4.29
0,pepper,0,1.205563909774436,1.7632195738793988,0.0,3.89,1.383233082706767,1.9576243010235665,0.0,5.43
0,pepper,0,1.1693283582089553,1.649492577866371,0.0,3.72,1.2689179104477613,1.7605065943902332,0.0,4.8
0,pepper,0,1.0768897637795276,1.577953148226389,0.0,3.52,1.2321259842519687,1.7135097374771084,0.0,4.83
0,pepper,0,1.1833105802047783,1.6595017909919483,0.0,3.58,1.262764505119454,1.7709382049803675,0.0,3.86
0,pepper,0,1.1805574912891985,1.6552340282016804,0.0,3.56,1.2681533101045297,1.7647537133326914,0.0,3.82
0,pepper,0,1.207741935483871,1.7108829260280716,0.0,5.32,1.2764516129032257,1.7725211092309883,0.0,3.97
0,pepper,0,0.9535483870967743,1.5215705666341315,0.0,3.94,1.0503225806451613,1.5495020358617748,0.0,3.44
0,pepper,0,1.1462585034013606,1.5997229755419948,0.0,3.5,1.1777210884353742,1.6435825902024392,0.0,3.58
0,pepper,0,1.075404411764706,1.5457748096171335,0.0,3.4,1.1604044117647059,1.6136446056484675,0.0,3.52
0,pepper,0,1.143076923076923,1.5991335795136705,0.0,3.4,1.1826373626373627,1.6545854366072994,0.0,3.54
0,pig,0,1.2469283276450513,1.7359437797605417,0.0,3.8,1.3255972696245732,1.8451482292590273,0.0,4.02
0,pig,0,1.1114432989690721,1.6698334433476703,0.0,3.72,1.3222680412371133,1.8518872722366675,0.0,3.98
0,pig,0,,,,,,,,
0,pig,0,,,,,,,,
0,pig,0,,,,,,,,
0,pig,0,,,,,,,,
0,pig,0,,,,,,,,
0,pig,0,1.1218461538461537,1.5813225203801842,0.0,3.4,1.2016923076923076,1.6933847108221316,0.0,3.64
0,pig,0,1.1290102389078498,1.571318281032129,0.0,3.44,1.196928327645051,1.6660510643299835,0.0,3.64
0,pig,0,1.066784140969163,1.55429372803911,0.0,3.41,1.1933920704845813,1.6873515511312356,0.0,3.7
0,pig,0,1.197986348122867,1.6677986803475868,0.0,3.63,1.2402047781569965,1.7271805631283386,0.0,3.82
0,pig,0,1.1472388059701493,1.6306412386313431,0.0,3.63,1.2418656716417908,1.721535621399101,0.0,3.75
0,pig,0,1.1900341296928327,1.6564197441150563,0.0,3.57,1.2415017064846416,1.727966319164905,0.0,3.72
0,pig,0,1.0410188679245282,1.5317065953829483,0.0,3.44,1.1512075471698116,1.6088166336002638,0.0,3.54
0,pig,0,1.1136546184738956,1.578456747209516,0.0,3.44,1.183293172690763,1.6483781124506676,0.0,3.56
0,pig,0,1.1070085470085471,1.668750960199783,0.0,3.69,1.2807692307692309,1.7869363851470295,0.0,3.86
0,pig,0,1.0398888888888889,1.5391593522998177,0.0,3.57,1.1418518518518517,1.5940415004346915,0.0,3.76
0,pig,0,1.1134129692832766,1.561694709776386,0.0,3.45,1.113515358361775,1.562227158842451,0.0,3.51
0,pig,0,1.1308088235294118,1.6410902483316057,0.0,4.91,1.2115073529411764,1.6985975134977866,0.0,3.71
0,hedge,0,1.175358361774744,1.6360551111183526,0.0,3.55,1.2341638225255973,1.7183640676412788,0.0,3.77
0,hedge,0,1.0005797101449276,1.5241988098457526,0.0,3.34,1.1856521739130432,1.6360780564048945,0.0,3.49
0,hedge,0,,,,,,,,
0,hedge,0,,,,,,,,
0,hedge,0,,,,,,,,
0,hedge,0,,,,,,,,
0,hedge,0,,,,,,,,
0,hedge,0,1.0747222222222224,1.5423423487134496,0.0,3.36,1.133888888888889,1.6275525495624714,0.0,3.52
0,hedge,0,0.966338028169014,1.4112791375419378,0.0,3.39,1.1290140845070422,1.5742779195551226,0.0,4.74
0,hedge,0,1.1500000000000001,1.6046011061624041,0.0,3.44,1.2074829931972788,1.6849062292650787,0.0,3.68
0,hedge,0,1.1145323741007196,1.601750947627662,0.0,3.5,1.236115107913669,1.719716419738924,0.0,4.37
0,hedge,0,1.0486832740213523,1.5433477212255504,0.0,3.46,1.201779359430605,1.6721789787155439,0.0,3.76
0,hedge,0,1.1630272108843538,1.622806322711304,0.0,3.49,1.2178231292517006,1.699717911551466,0.0,3.73
0,hedge,0,1.1051310861423222,1.5798275703141642,0.0,3.47,1.178614232209738,1.6436629130318605,0.0,3.63
0,hedge,0,1.1404609929078016,1.6182533531073369,0.0,4.6,1.2235815602836877,1.7085173720983844,0.0,3.74
0,hedge,0,1.1228474576271186,1.5721238809520837,0.0,3.51,1.1915593220338982,1.6676988124214516,0.0,3.73
0,hedge,0,1.0601754385964914,1.5644067984653973,0.0,3.64,1.2263157894736842,1.715077125908102,0.0,5.17
0,hedge,0,1.1891752577319585,1.6858837875253685,0.0,4.57,1.2583161512027492,1.742598807285266,0.0,3.81
0,hedge,0,1.1964285714285714,1.7131383440466756,0.0,3.74,1.3061607142857141,1.8320186500957307,0.0,3.99
0,unicorn,0,1.1640410958904108,1.6411619296720785,0.0,3.6,1.2224657534246575,1.723589143301157,0.0,3.79
0,unicorn,0,0.6927272727272727,1.3460695438138464,0.0,3.51,1.1686363636363637,1.6112831832125278,0.0,3.45
0,unicorn,0,1.0575,1.509307423391631,0.0,3.42,1.1173333333333335,1.593860962681997,0.0,3.44
0,unicorn,0,,,,,,,,
0,unicorn,0,,,,,,,,
0,unicorn,0,,,,,,,,
0,unicorn,0,0.0,0.0,0.0,0.0,1.346,1.8467755683894025,0.0,3.53
0,unicorn,0,0.9298076923076923,1.4765347487456548,0.0,3.65,1.1990384615384615,1.6645640772043462,0.0,3.58
0,unicorn,0,1.0851123595505618,1.5073984169104087,0.0,3.35,1.1629213483146068,1.6153054684767298,0.0,3.52
0,unicorn,0,1.1516847826086956,1.6662542293796694,0.0,6.37,1.1582065217391304,1.6319720682146017,0.0,3.59
0,unicorn,0,1.0937722419928824,1.5991537956765576,0.0,4.42,1.1871886120996442,1.6664100410801388,0.0,4.53
0,unicorn,0,1.1685374149659862,1.6320316188971293,0.0,3.6,1.2612925170068028,1.7615742153510159,0.0,3.92
0,unicorn,0,1.1008540925266903,1.588393612402383,0.0,5.52,1.2534519572953735,1.7588784490625018,0.0,7.2
0,unicorn,0,1.1671232876712327,1.6201011630643163,0.0,3.48,1.2282876712328765,1.7051078951617729,0.0,3.7
0,unicorn,0,1.0884246575342464,1.608143660281846,0.0,3.6,1.2589383561643834,1.7505462779090042,0.0,3.86
0,unicorn,0,0.602,1.3461129224548731,0.0,3.01,1.47,2.012883503832251,0.0,3.68
0,unicorn,0,1.0717142857142858,1.526831829357632,0.0,3.29,1.1732571428571428,1.629326853862026,0.0,3.52
