,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
10,8_features,162,False,minmax,True,121,41,ada,precision,0.63786626596544,0.365145279905975,0.804878048780488,0.598739495798319,0.4,0.285714285714286,0.333333333333333,0.598739495798319,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
27,8_features,162,False,minmax,True,121,41,random_forest,f1,0.461486172229974,0.099447843392507,0.804878048780488,0.598739495798319,0.4,0.285714285714286,0.333333333333333,0.598739495798319,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
25,8_features,162,False,minmax,True,121,41,random_forest,precision,0.507083825265643,0.298652587597595,0.780487804878049,0.584033613445378,0.333333333333333,0.285714285714286,0.307692307692308,0.584033613445378,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
14,8_features,162,False,minmax,True,121,41,ada,roc_auc,0.714710743801653,0.065765352733091,0.707317073170732,0.653361344537815,0.307692307692308,0.571428571428571,0.4,0.653361344537815,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 1, 'clf__n_estimators': 200},,,
29,8_features,162,False,minmax,True,121,41,random_forest,roc_auc,0.742727272727273,0.055456035747486,0.731707317073171,0.611344537815126,0.3,0.428571428571429,0.352941176470588,0.611344537815126,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
28,8_features,162,False,minmax,True,121,41,random_forest,balanced_accuracy,0.690178003814367,0.032461981408803,0.707317073170732,0.596638655462185,0.272727272727273,0.428571428571429,0.333333333333333,0.596638655462185,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
34,8_features,162,False,minmax,True,121,41,mlp,roc_auc,0.720966306420852,0.070883605917094,0.634146341463415,0.609243697478992,0.25,0.571428571428571,0.347826086956522,0.609243697478992,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'adam'},
11,8_features,162,False,minmax,True,121,41,ada,recall,0.651239669421488,0.29489196858694,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 50},,,
12,8_features,162,False,minmax,True,121,41,ada,f1,0.366481342349111,0.057769088181953,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
23,8_features,162,False,minmax,True,121,41,decision_tree,balanced_accuracy,0.721932612841704,0.079376397048839,0.560975609756098,0.621848739495798,0.238095238095238,0.714285714285714,0.357142857142857,0.621848739495798,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
4,8_features,162,False,minmax,True,121,41,gaussian_nb,roc_auc,0.669408773045137,0.062648660138512,0.609756097560976,0.59453781512605,0.235294117647059,0.571428571428571,0.333333333333333,0.59453781512605,{'clf__var_smoothing': 2e-08},,,,,
13,8_features,162,False,minmax,True,121,41,ada,balanced_accuracy,0.637603305785124,0.041301647724689,0.609756097560976,0.59453781512605,0.235294117647059,0.571428571428571,0.333333333333333,0.59453781512605,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
21,8_features,162,False,minmax,True,121,41,decision_tree,recall,0.899173553719008,0.099996584874408,0.487804878048781,0.634453781512605,0.230769230769231,0.857142857142857,0.363636363636364,0.634453781512605,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
18,8_features,162,False,minmax,True,121,41,svm,balanced_accuracy,0.641640178003814,0.029321794590615,0.585365853658537,0.579831932773109,0.222222222222222,0.571428571428571,0.32,0.579831932773109,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
24,8_features,162,False,minmax,True,121,41,decision_tree,roc_auc,0.758270820089002,0.108445638732695,0.707317073170732,0.539915966386555,0.222222222222222,0.285714285714286,0.25,0.539915966386555,{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
30,8_features,162,False,minmax,True,121,41,mlp,precision,0.428099173553719,0.331821869758468,0.585365853658537,0.579831932773109,0.222222222222222,0.571428571428571,0.32,0.579831932773109,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
9,8_features,162,False,minmax,True,121,41,knn,roc_auc,0.65935791481246,0.044900436159008,0.634146341463415,0.552521008403361,0.214285714285714,0.428571428571429,0.285714285714286,0.552521008403361,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'},,
19,8_features,162,False,minmax,True,121,41,svm,roc_auc,0.726827717736809,0.061023109923376,0.634146341463415,0.552521008403361,0.214285714285714,0.428571428571429,0.285714285714286,0.552521008403361,{'clf__C': 1000, 'clf__kernel': 'linear'},,,,
0,8_features,162,False,minmax,True,121,41,gaussian_nb,precision,0.261393152302243,0.05628971437029,0.560975609756098,0.565126050420168,0.210526315789474,0.571428571428571,0.307692307692308,0.565126050420168,{'clf__var_smoothing': 2e-08},,,,,
1,8_features,162,False,minmax,True,121,41,gaussian_nb,recall,0.550413223140496,0.086362647785872,0.560975609756098,0.565126050420168,0.210526315789474,0.571428571428571,0.307692307692308,0.565126050420168,{'clf__var_smoothing': 2e-09},,,,,
2,8_features,162,False,minmax,True,121,41,gaussian_nb,f1,0.329515938606848,0.043979871039981,0.560975609756098,0.565126050420168,0.210526315789474,0.571428571428571,0.307692307692308,0.565126050420168,{'clf__var_smoothing': 2e-09},,,,,
3,8_features,162,False,minmax,True,121,41,gaussian_nb,balanced_accuracy,0.606929434202162,0.035445716320796,0.560975609756098,0.565126050420168,0.210526315789474,0.571428571428571,0.307692307692308,0.565126050420168,{'clf__var_smoothing': 2e-08},,,,,
26,8_features,162,False,minmax,True,121,41,random_forest,recall,0.651239669421488,0.165701964097218,0.560975609756098,0.565126050420168,0.210526315789474,0.571428571428571,0.307692307692308,0.565126050420168,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
16,8_features,162,False,minmax,True,121,41,svm,recall,0.849586776859504,0.086362647785872,0.536585365853659,0.550420168067227,0.2,0.571428571428571,0.296296296296296,0.550420168067227,{'clf__C': 50, 'clf__gamma': 1e-05, 'clf__kernel': 'sigmoid'},,,
20,8_features,162,False,minmax,True,121,41,decision_tree,precision,0.710743801652893,0.29750152984098,0.463414634146341,0.563025210084034,0.2,0.714285714285714,0.3125,0.563025210084034,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'best'}
31,8_features,162,False,minmax,True,121,41,mlp,recall,0.598347107438017,0.199993169748816,0.585365853658537,0.523109243697479,0.1875,0.428571428571429,0.260869565217391,0.523109243697479,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'adam'},
32,8_features,162,False,minmax,True,121,41,mlp,f1,0.395634668361941,0.078961692452439,0.585365853658537,0.523109243697479,0.1875,0.428571428571429,0.260869565217391,0.523109243697479,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'adam'},
33,8_features,162,False,minmax,True,121,41,mlp,balanced_accuracy,0.640718372536554,0.066340511606714,0.585365853658537,0.523109243697479,0.1875,0.428571428571429,0.260869565217391,0.523109243697479,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'adam'},
15,8_features,162,False,minmax,True,121,41,svm,precision,0.300354191263282,0.173878558839168,0.560975609756098,0.508403361344538,0.176470588235294,0.428571428571429,0.25,0.508403361344538,{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
17,8_features,162,False,minmax,True,121,41,svm,f1,0.402682372723695,0.03424786495491,0.536585365853659,0.493697478991597,0.166666666666667,0.428571428571429,0.24,0.493697478991597,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
22,8_features,162,False,minmax,True,121,41,decision_tree,f1,0.471153089334908,0.091486445729348,0.658536585365854,0.453781512605042,0.111111111111111,0.142857142857143,0.125,0.453781512605042,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
6,8_features,162,False,minmax,True,121,41,knn,recall,0.601652892561983,0.141994919635799,0.609756097560976,0.42436974789916,0.090909090909091,0.142857142857143,0.111111111111111,0.42436974789916,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'distance'},,
8,8_features,162,False,minmax,True,121,41,knn,balanced_accuracy,0.616719643992371,0.080089182563109,0.609756097560976,0.42436974789916,0.090909090909091,0.142857142857143,0.111111111111111,0.42436974789916,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'},,
5,8_features,162,False,minmax,True,121,41,knn,precision,0.291263104097329,0.138582611892351,0.585365853658537,0.409663865546218,0.083333333333333,0.142857142857143,0.105263157894737,0.409663865546218,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'},,
7,8_features,162,False,minmax,True,121,41,knn,f1,0.354848926798368,0.052466011172529,0.585365853658537,0.409663865546218,0.083333333333333,0.142857142857143,0.105263157894737,0.409663865546218,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 4, 'clf__weights': 'uniform'},,
