,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
23,all_columns,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.84375,0.775641025641025,0.571428571428571,0.666666666666667,0.615384615384615,0.775641025641025,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
32,all_columns,126,False,minmax,True,94,32,mlp,f1,0.8125,0.692307692307692,0.5,0.5,0.5,0.692307692307692,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
30,all_columns,126,False,minmax,True,94,32,mlp,precision,0.78125,0.673076923076923,0.428571428571429,0.5,0.461538461538462,0.673076923076923,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
33,all_columns,126,False,minmax,True,94,32,mlp,balanced_accuracy,0.78125,0.673076923076923,0.428571428571429,0.5,0.461538461538462,0.673076923076923,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
31,all_columns,126,False,minmax,True,94,32,mlp,recall,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
34,all_columns,126,False,minmax,True,94,32,mlp,roc_auc,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
119,tt_35,126,False,minmax,True,94,32,ada,roc_auc,0.75,0.653846153846154,0.375,0.5,0.428571428571429,0.653846153846154,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 100},,,
25,all_columns,126,False,minmax,True,94,32,random_forest,precision,0.75,0.58974358974359,0.333333333333333,0.333333333333333,0.333333333333333,0.58974358974359,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
27,all_columns,126,False,minmax,True,94,32,random_forest,f1,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': False, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
28,all_columns,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
62,reduced,126,False,minmax,True,94,32,random_forest,f1,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
133,tt_35,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.71875,0.634615384615385,0.333333333333333,0.5,0.4,0.634615384615385,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
0,all_columns,126,False,minmax,True,94,32,gaussian_nb,precision,0.65625,0.66025641025641,0.307692307692308,0.666666666666667,0.421052631578947,0.66025641025641,{'clf__var_smoothing': 1e-09},,,,,
75,tt_0,126,False,minmax,True,94,32,knn,precision,0.65625,0.66025641025641,0.307692307692308,0.666666666666667,0.421052631578947,0.66025641025641,{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'},,
9,all_columns,126,False,minmax,True,94,32,knn,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'},,
24,all_columns,126,False,minmax,True,94,32,decision_tree,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
49,reduced,126,False,minmax,True,94,32,ada,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 100},,,
57,reduced,126,False,minmax,True,94,32,decision_tree,f1,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
63,reduced,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
80,tt_0,126,False,minmax,True,94,32,ada,precision,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
116,tt_35,126,False,minmax,True,94,32,ada,recall,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 200},,,
139,tt_35,126,False,minmax,True,94,32,mlp,roc_auc,0.6875,0.615384615384615,0.3,0.5,0.375,0.615384615384615,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
79,tt_0,126,False,minmax,True,94,32,knn,roc_auc,0.59375,0.685897435897436,0.294117647058824,0.833333333333333,0.434782608695652,0.685897435897436,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'distance'},,
5,all_columns,126,False,minmax,True,94,32,knn,precision,0.625,0.641025641025641,0.285714285714286,0.666666666666667,0.4,0.641025641025641,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'},,
40,reduced,126,False,minmax,True,94,32,knn,precision,0.625,0.641025641025641,0.285714285714286,0.666666666666667,0.4,0.641025641025641,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 4, 'clf__weights': 'uniform'},,
129,tt_35,126,False,minmax,True,94,32,decision_tree,roc_auc,0.71875,0.57051282051282,0.285714285714286,0.333333333333333,0.307692307692308,0.57051282051282,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
114,tt_35,126,False,minmax,True,94,32,knn,roc_auc,0.5625,0.666666666666667,0.277777777777778,0.833333333333333,0.416666666666667,0.666666666666667,{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 3, 'clf__weights': 'uniform'},,
26,all_columns,126,False,minmax,True,94,32,random_forest,recall,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
46,reduced,126,False,minmax,True,94,32,ada,recall,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
58,reduced,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
61,reduced,126,False,minmax,True,94,32,random_forest,recall,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
64,reduced,126,False,minmax,True,94,32,random_forest,roc_auc,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
83,tt_0,126,False,minmax,True,94,32,ada,balanced_accuracy,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
96,tt_0,126,False,minmax,True,94,32,random_forest,recall,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
128,tt_35,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
131,tt_35,126,False,minmax,True,94,32,random_forest,recall,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
132,tt_35,126,False,minmax,True,94,32,random_forest,f1,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
134,tt_35,126,False,minmax,True,94,32,random_forest,roc_auc,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
138,tt_35,126,False,minmax,True,94,32,mlp,balanced_accuracy,0.65625,0.596153846153846,0.272727272727273,0.5,0.352941176470588,0.596153846153846,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
2,all_columns,126,False,minmax,True,94,32,gaussian_nb,f1,0.59375,0.621794871794872,0.266666666666667,0.666666666666667,0.380952380952381,0.621794871794872,{'clf__var_smoothing': 1e-09},,,,,
112,tt_35,126,False,minmax,True,94,32,knn,f1,0.53125,0.647435897435897,0.263157894736842,0.833333333333333,0.4,0.647435897435897,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'uniform'},,
113,tt_35,126,False,minmax,True,94,32,knn,balanced_accuracy,0.53125,0.647435897435897,0.263157894736842,0.833333333333333,0.4,0.647435897435897,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 5, 'clf__p': 3, 'clf__weights': 'distance'},,
10,all_columns,126,False,minmax,True,94,32,ada,precision,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
12,all_columns,126,False,minmax,True,94,32,ada,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 200},,,
13,all_columns,126,False,minmax,True,94,32,ada,balanced_accuracy,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
20,all_columns,126,False,minmax,True,94,32,decision_tree,precision,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'best'}
41,reduced,126,False,minmax,True,94,32,knn,recall,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'},,
43,reduced,126,False,minmax,True,94,32,knn,balanced_accuracy,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'},,
45,reduced,126,False,minmax,True,94,32,ada,precision,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
47,reduced,126,False,minmax,True,94,32,ada,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
68,reduced,126,False,minmax,True,94,32,mlp,balanced_accuracy,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
76,tt_0,126,False,minmax,True,94,32,knn,recall,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'distance'},,
77,tt_0,126,False,minmax,True,94,32,knn,f1,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 3, 'clf__weights': 'distance'},,
82,tt_0,126,False,minmax,True,94,32,ada,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
88,tt_0,126,False,minmax,True,94,32,svm,balanced_accuracy,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 1000, 'clf__kernel': 'linear'},,,,
92,tt_0,126,False,minmax,True,94,32,decision_tree,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
93,tt_0,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
100,tt_0,126,False,minmax,True,94,32,mlp,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'adam'},
111,tt_35,126,False,minmax,True,94,32,knn,recall,0.5,0.628205128205128,0.25,0.833333333333333,0.384615384615385,0.628205128205128,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 4, 'clf__weights': 'distance'},,
115,tt_35,126,False,minmax,True,94,32,ada,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
121,tt_35,126,False,minmax,True,94,32,svm,recall,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
122,tt_35,126,False,minmax,True,94,32,svm,f1,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 0.01, 'clf__gamma': 1e-05, 'clf__kernel': 'rbf'},,,
135,tt_35,126,False,minmax,True,94,32,mlp,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
136,tt_35,126,False,minmax,True,94,32,mlp,recall,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
3,all_columns,126,False,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.53125,0.583333333333333,0.235294117647059,0.666666666666667,0.347826086956522,0.583333333333333,{'clf__var_smoothing': 2e-09},,,,,
