,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
48,tt,144,True,minmax,True,108,36,decision_tree,balanced_accuracy,0.888888888888889,0.866666666666667,0.625,0.833333333333333,0.714285714285714,0.866666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
2,reduced,144,True,minmax,True,108,36,svm,f1,0.888888888888889,0.933333333333333,0.6,1,0.75,0.933333333333333,{'clf__C': 10, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
40,tt,144,True,minmax,True,108,36,svm,precision,0.888888888888889,0.933333333333333,0.6,1,0.75,0.933333333333333,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
0,reduced,144,True,minmax,True,108,36,svm,precision,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
8,reduced,144,True,minmax,True,108,36,decision_tree,balanced_accuracy,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
19,reduced,144,True,minmax,True,108,36,random_forest,roc_auc,0.861111111111111,0.85,0.555555555555556,0.833333333333333,0.666666666666667,0.85,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
4,reduced,144,True,minmax,True,108,36,svm,roc_auc,0.833333333333333,0.9,0.5,1,0.666666666666667,0.9,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
5,reduced,144,True,minmax,True,108,36,decision_tree,precision,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
7,reduced,144,True,minmax,True,108,36,decision_tree,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
9,reduced,144,True,minmax,True,108,36,decision_tree,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
10,reduced,144,True,minmax,True,108,36,ada,precision,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
11,reduced,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
12,reduced,144,True,minmax,True,108,36,ada,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
13,reduced,144,True,minmax,True,108,36,ada,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
14,reduced,144,True,minmax,True,108,36,ada,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 100},,,
15,reduced,144,True,minmax,True,108,36,random_forest,precision,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
16,reduced,144,True,minmax,True,108,36,random_forest,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
17,reduced,144,True,minmax,True,108,36,random_forest,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
18,reduced,144,True,minmax,True,108,36,random_forest,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
20,full,144,True,minmax,True,108,36,svm,precision,0.833333333333333,0.7,0.5,0.5,0.5,0.7,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
27,full,144,True,minmax,True,108,36,decision_tree,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
29,full,144,True,minmax,True,108,36,decision_tree,roc_auc,0.833333333333333,0.766666666666667,0.5,0.666666666666667,0.571428571428571,0.766666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
30,full,144,True,minmax,True,108,36,ada,precision,0.833333333333333,0.7,0.5,0.5,0.5,0.7,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 100},,,
31,full,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
32,full,144,True,minmax,True,108,36,ada,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
33,full,144,True,minmax,True,108,36,ada,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
34,full,144,True,minmax,True,108,36,ada,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
36,full,144,True,minmax,True,108,36,random_forest,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
38,full,144,True,minmax,True,108,36,random_forest,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
39,full,144,True,minmax,True,108,36,random_forest,roc_auc,0.833333333333333,0.7,0.5,0.5,0.5,0.7,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
41,tt,144,True,minmax,True,108,36,svm,recall,0.833333333333333,0.9,0.5,1,0.666666666666667,0.9,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
44,tt,144,True,minmax,True,108,36,svm,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
51,tt,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
52,tt,144,True,minmax,True,108,36,ada,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
53,tt,144,True,minmax,True,108,36,ada,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
56,tt,144,True,minmax,True,108,36,random_forest,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
58,tt,144,True,minmax,True,108,36,random_forest,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
59,tt,144,True,minmax,True,108,36,random_forest,roc_auc,0.833333333333333,0.766666666666667,0.5,0.666666666666667,0.571428571428571,0.766666666666667,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
3,reduced,144,True,minmax,True,108,36,svm,balanced_accuracy,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
42,tt,144,True,minmax,True,108,36,svm,f1,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 1, 'clf__kernel': 'linear'},,,,
43,tt,144,True,minmax,True,108,36,svm,balanced_accuracy,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
22,full,144,True,minmax,True,108,36,svm,f1,0.805555555555556,0.816666666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.816666666666667,{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
54,tt,144,True,minmax,True,108,36,ada,roc_auc,0.805555555555556,0.75,0.444444444444444,0.666666666666667,0.533333333333333,0.75,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100},,,
37,full,144,True,minmax,True,108,36,random_forest,f1,0.805555555555556,0.683333333333333,0.428571428571429,0.5,0.461538461538462,0.683333333333333,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
57,tt,144,True,minmax,True,108,36,random_forest,f1,0.805555555555556,0.683333333333333,0.428571428571429,0.5,0.461538461538462,0.683333333333333,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
24,full,144,True,minmax,True,108,36,svm,roc_auc,0.777777777777778,0.8,0.416666666666667,0.833333333333333,0.555555555555556,0.8,{'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
35,full,144,True,minmax,True,108,36,random_forest,precision,0.805555555555556,0.616666666666667,0.4,0.333333333333333,0.363636363636364,0.616666666666667,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
50,tt,144,True,minmax,True,108,36,ada,precision,0.777777777777778,0.733333333333333,0.4,0.666666666666667,0.5,0.733333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.3, 'clf__n_estimators': 200},,,
26,full,144,True,minmax,True,108,36,decision_tree,recall,0.75,0.783333333333333,0.384615384615385,0.833333333333333,0.526315789473684,0.783333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
47,tt,144,True,minmax,True,108,36,decision_tree,f1,0.777777777777778,0.666666666666667,0.375,0.5,0.428571428571429,0.666666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
49,tt,144,True,minmax,True,108,36,decision_tree,roc_auc,0.722222222222222,0.766666666666667,0.357142857142857,0.833333333333333,0.5,0.766666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
23,full,144,True,minmax,True,108,36,svm,balanced_accuracy,0.694444444444444,0.75,0.333333333333333,0.833333333333333,0.476190476190476,0.75,{'clf__C': 10, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
28,full,144,True,minmax,True,108,36,decision_tree,balanced_accuracy,0.722222222222222,0.7,0.333333333333333,0.666666666666667,0.444444444444444,0.7,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
45,tt,144,True,minmax,True,108,36,decision_tree,precision,0.777777777777778,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.6,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
55,tt,144,True,minmax,True,108,36,random_forest,precision,0.777777777777778,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.6,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
1,reduced,144,True,minmax,True,108,36,svm,recall,0.638888888888889,0.783333333333333,0.31578947368421,1,0.48,0.783333333333333,{'clf__C': 0.001, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
6,reduced,144,True,minmax,True,108,36,decision_tree,recall,0.638888888888889,0.783333333333333,0.31578947368421,1,0.48,0.783333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
21,full,144,True,minmax,True,108,36,svm,recall,0.611111111111111,0.766666666666667,0.3,1,0.461538461538462,0.766666666666667,{'clf__C': 0.001, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
46,tt,144,True,minmax,True,108,36,decision_tree,recall,0.555555555555556,0.733333333333333,0.272727272727273,1,0.428571428571429,0.733333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
25,full,144,True,minmax,True,108,36,decision_tree,precision,0.694444444444444,0.55,0.222222222222222,0.333333333333333,0.266666666666667,0.55,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
